,Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of School-Aged Children Who Live in Low-Income Households,"Percentage of Students Whose Parents Have No Degree, Diploma or Certificate",Extract Date,Year
45,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),953148,White Pines Collegiate and Vocational School,Public,Not applicable,Secondary,English,9-12,,,1007 Trunk Rd,Sault Ste. Marie,Sault Ste Marie,Ontario,P6A5K9,705-945-7181,705-945-0726,http://www.adsb.on.ca/sites/schools/wps/default.aspx,www.adsb.on.ca,480,46.52684,-84.256,0,100,0,0,30,0,,,,72%,-3.0,25%,-10.0,41%,-18.0,15,0,2021-10-07 00:00:00,2017
50,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),715298,Holy Cross Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,1085 Woodbine Rd,Kingston,Kingston,Ontario,K7P2V9,613-384-1919,613-384-8665,https://www.alcdsb.on.ca/school/hcss/Pages/default.aspx,www.alcdsb.on.ca,1045,44.25899,-76.5987,5,99,2,2,26,0,,,,89%,24.0,56%,0.0,71%,-15.0,8,1,2021-10-07 00:00:00,2017
56,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),728420,Loyola Community Learning Centre,Catholic,Adult,Secondary,English,9-12,,,1440 Princess Street,Kingston,Kingston,Ontario,K7M3E5,613-544-3361,613-547-0999,https://www.learningatloyola.ca/campus/kingston/,www.alcdsb.on.ca,315,44.2508,-76.5329,5,100,0,5,0,0,,,,,,,,,,20,5,2021-10-07 00:00:00,2017
58,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),835099,Nicholson Catholic College,Catholic,Not applicable,Secondary,English,9-12,,,301 Church St,Belleville,Belleville,Ontario,K8N3C7,613-967-0404,613-967-1963,https://www.alcdsb.on.ca/school/nicc/Pages/default.aspx,www.alcdsb.on.ca,450,44.16855,-77.3825,10,100,0,5,20,0,,,,82%,10.0,40%,7.0,85%,0.0,20,5,2021-10-07 00:00:00,2017
63,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),752932,Regiopolis/Notre-Dame Catholic High School,Catholic,Not applicable,Secondary,English,9-12,,,130 Russell St,Kingston,Kingston,Ontario,K7K2E9,613-545-1902,613-548-4024,www.alcdsb.on.ca/school/regi,www.alcdsb.on.ca,1020,44.24334,-76.4939,8,98,2,3,27,0,,,,92%,0.0,70%,13.0,80%,-6.0,14,5,2021-10-07 00:00:00,2017
81,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),841358,St Paul Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,15 Tripp Blvd,Quinte West,Trenton,Ontario,K8V6M2,613-394-4843,613-394-2684,www.alcdsb.on.ca/school/pass,www.alcdsb.on.ca,330,44.09403,-77.5981,5,100,0,0,30,0,,,,81%,-5.0,50%,-12.0,79%,-1.0,10,10,2021-10-07 00:00:00,2017
83,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),851752,St Theresa Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,135 Adam St,Belleville,Belleville,Ontario,K8N5S1,613-968-6993,613-968-9470,www.alcdsb.on.ca/school/thss,www.alcdsb.on.ca,725,44.19052,-77.3819,2,100,0,1,23,0,,,,60%,-11.0,28%,-11.0,81%,0.0,13,4,2021-10-07 00:00:00,2017
87,B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),893048,Avon Maitland District E-learning Centre,Public,Not applicable,Secondary,English,9-12,,,165 Princess St E,Central Huron,Clinton,Ontario,N0M1L0,519-482-5428,519-482-8795,amdec.avonmaitlandsecondary.ca,http://blog.amdsb.ca,295,43.6186,-81.5326,10,100,0,0,0,0,,,,,,,,N/D,,15,5,2021-10-07 00:00:00,2017
92,B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),899569,Central Huron Secondary School,Public,Not applicable,Secondary,English,9-12,,,165 Princess St E,Central Huron,Clinton,Ontario,N0M1L0,519-482-3471,519-482-9718,chss.amdsb.ca,http://blog.amdsb.ca,490,43.61681,-81.5337,0,100,0,0,25,0,,,,72%,-4.0,46%,7.0,67%,-5.0,10,0,2021-10-07 00:00:00,2017
98,B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),953776,F E Madill Secondary School,Public,Not applicable,Secondary,English,9-12,,,231 Madill Dr,North Huron,Wingham,Ontario,N0G2W0,519-357-1800,519-357-4137,femss.amdsb.ca,http://blog.amdsb.ca,655,43.88247,-81.3064,3,100,0,0,24,1,,,,65%,-7.0,60%,14.0,73%,6.0,16,19,2021-10-07 00:00:00,2017
101,B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),913600,Goderich District Collegiate Institute,Public,Not applicable,Secondary,English,9-12,,,260 South St,Goderich,Goderich,Ontario,N7A3M5,519-524-7353,519-524-1710,gdci.amdsb.ca,http://blog.amdsb.ca,430,43.73412,-81.7112,10,100,0,0,20,5,,,,91%,19.0,58%,-1.0,69%,-8.0,10,5,2021-10-07 00:00:00,2017
107,B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),923095,Listowel District Secondary School,Public,Not applicable,Secondary,English,9-12,,,155 Maitland Ave S,North Perth,Listowel,Ontario,N4W2M4,519-291-1880,519-291-5590,ldss.amdsb.ca,http://blog.amdsb.ca,930,43.72751,-80.9467,14,100,0,0,18,3,,,,82%,5.0,51%,-6.0,73%,-6.0,8,18,2021-10-07 00:00:00,2017
113,B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),927120,Mitchell District High School,Public,Not applicable,Secondary,English,9-12,,,95 Frances St RR 5,West Perth,Mitchell,Ontario,N0K1N0,519-348-8495,519-348-4224,mdhs.amdsb.ca,http://blog.amdsb.ca,315,43.47518,-81.1895,10,100,0,0,10,0,,,,94%,7.0,84%,63.0,78%,-4.0,5,0,2021-10-07 00:00:00,2017
122,B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),943118,South Huron District High School,Public,Not applicable,Secondary,English,9-12,,,92 Gidley St E,South Huron,Exeter,Ontario,N0M1S6,519-235-0880,519-235-3461,shdhs.amdsb.ca,http://blog.amdsb.ca,415,43.34951,-81.4774,10,100,0,0,25,0,,,,76%,-17.0,60%,-13.0,68%,-12.0,10,10,2021-10-07 00:00:00,2017
125,B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),944807,St Marys District Collegiate and Vocational Institute,Public,Not applicable,Secondary,English,9-12,,,338 Elizabeth St,St. Marys,St Marys,Ontario,N4X1B6,519-284-1731,519-284-4042,smdcvi.amdsb.ca,http://blog.amdsb.ca,440,43.257,-81.1339,0,100,0,0,20,0,,,,83%,1.0,42%,-1.0,71%,-4.0,10,0,2021-10-07 00:00:00,2017
129,B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),945587,Stratford Central Secondary School,Public,Not applicable,Secondary,English,9-12,,,,,,,,,,,,825,,,8,100,2,1,13,8,,,,88%,-6.0,72%,22.0,77%,-7.0,7,5,2021-10-07 00:00:00,2017
131,B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),945714,Stratford Northwestern Secondary School,Public,Not applicable,Secondary,English,9-12,,,,,,,,,,,,830,,,7,100,1,1,25,2,,,,90%,14.0,55%,17.0,64%,6.0,9,7,2021-10-07 00:00:00,2017
140,B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),896969,Bruce Peninsula District School,Public,Not applicable,Secondary,English,9-12,,,5 Moore St,Northern Bruce Peninsula,Lion s Head,Ontario,N0H1W0,519-793-3211,519-370-2908,http://www.bpds.bwdsb.on.ca/,www.bwdsb.on.ca,55,44.98478,-81.2519,0,100,0,0,30,10,,,,N/R,,N/R,,79%,-6.0,10,10,2021-10-07 00:00:00,2017
149,B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),925438,Georgian Bay Community School Secondary School,Public,Not applicable,Secondary,English,9-12,,,125 Eliza Street,Meaford,Meaford,Ontario,N4L1A4,519-538-1680,519-370-2920,http://www.gbss.bwdsb.on.ca,www.bwdsb.on.ca,345,44.60148,-80.5845,0,100,0,0,25,0,,,,85%,1.0,47%,7.0,79%,0.0,15,0,2021-10-07 00:00:00,2017
150,B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),914444,Grey Highlands Secondary School,Public,Not applicable,Secondary,English,9-12,,,100 Toronto Rd. S.,Grey Highlands,Flesherton,Ontario,N0C1E0,519-924-2721,519-370-2921,http://www.ghss.bwdsb.on.ca,www.bwdsb.on.ca,635,44.25865,-80.5452,3,100,0,0,29,0,,,,75%,10.0,39%,6.0,65%,-8.0,11,10,2021-10-07 00:00:00,2017
159,B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),915556,John Diefenbaker Senior School,Public,Not applicable,Secondary,English,9-12,,,181 7th St,Hanover,Hanover,Ontario,N4N1G7,519-364-3770,519-370-2932,http://www.jdss.bwdsb.on.ca,www.bwdsb.on.ca,615,44.14781,-81.0309,2,100,1,0,32,1,,,,90%,-3.0,64%,23.0,68%,3.0,12,13,2021-10-07 00:00:00,2017
161,B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),919454,Kincardine District Secondary School,Public,Not applicable,Secondary,English,9-12,,,885 River Lane,Kincardine,Kincardine,Ontario,N2Z2B9,519-396-9151,519-370-2934,http://www.kdss.bwdsb.on.ca,www.bwdsb.on.ca,465,44.17732,-81.6278,5,100,0,5,25,0,,,,78%,5.0,32%,-7.0,85%,2.0,5,5,2021-10-07 00:00:00,2017
169,B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),951692,Owen Sound District Secondary School Secondary School,Public,Not applicable,Secondary,English,9-12,,,750 9th St W,Owen Sound,Owen Sound,Ontario,N4K3P6,519-376-6050,519-370-2939,http://www.osdss.bwdsb.on.ca,www.bwdsb.on.ca,1285,44.56513,-80.9575,3,99,1,1,30,1,,,,87%,4.0,44%,-12.0,91%,19.0,14,6,2021-10-07 00:00:00,2017
172,B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),953253,Peninsula Shores District School,Public,Not applicable,Secondary,English,9-12,,Box 580,115 George St,The South Bruce Peninsula,Wiarton,Ontario,N0H2T0,519-534-2205,519-370-2952,http://www.psd.bwdsb.on.ca,www.bwdsb.on.ca,180,44.74067,-81.1492,10,100,5,0,30,5,,,,76%,-24.0,100%,10.0,70%,22.0,15,5,2021-10-07 00:00:00,2017
175,B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),940127,Saugeen District Secondary School,Public,Not applicable,Secondary,English,9-12,,,780 Gustavus St,Saugeen Shores,Port Elgin,Ontario,N0H2C4,519-832-2091,519-370-2954,http://www.sdss.bwdsb.on.ca,www.bwdsb.on.ca,595,44.4329,-81.3834,9,100,2,2,28,1,,,,93%,19.0,68%,-5.0,82%,1.0,12,6,2021-10-07 00:00:00,2017
181,B66001,Bluewater DSB,Pub Dist Sch Brd (E/F),950262,Walkerton District Community School,Public,Not applicable,Secondary,English,9-12,,Box 1510,1320 Yonge St South,Brockton,Walkerton,Ontario,N0G2V0,519-881-1780,519-370-2965,http://www.wdss.bwdsb.on.ca,www.bwdsb.on.ca,420,44.11732,-81.1477,0,95,0,0,40,0,,,,82%,17.0,51%,10.0,66%,-8.0,10,10,2021-10-07 00:00:00,2017
182,B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),688088,Assumption College School High School,Catholic,Not applicable,Secondary,English,9-12,,,257 Shellard Lane,Brantford,Brantford,Ontario,N3T0M7,519-751-2030,519-751-0125,http://www.assumptionlions.com/,www.bhncdsb.ca,1445,43.12153,-80.2974,2,99,2,1,19,1,,,,87%,2.0,61%,2.0,70%,-12.0,13,4,2021-10-07 00:00:00,2017
187,B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),720232,Holy Trinity Catholic High School,Catholic,Not applicable,Secondary,English,9-12,,,128 Evergreen Hill Rd,Norfolk County,Simcoe,Ontario,N3Y4N5,519-429-3600,519-429-3603,http://www.trinitycatholic.ca/,www.bhncdsb.ca,960,42.82441,-80.3115,3,100,2,2,15,1,,,,90%,-5.0,55%,-9.0,78%,-11.0,10,9,2021-10-07 00:00:00,2017
196,B67164,Brant Haldimand Norfolk CDSB,Cath Dist Sch Brd (E/F),751898,St John's College,Catholic,Not applicable,Secondary,English,9-12,,,80 Paris Rd,Brantford,Brantford,Ontario,N3R1H9,519-759-2318,519-751-0526,http://www.sjconline.ca/,www.bhncdsb.ca,1100,43.16038,-80.2885,4,100,2,2,15,2,,,,86%,3.0,45%,-1.0,87%,2.0,12,4,2021-10-07 00:00:00,2017
217,B67008,Bruce-Grey CDSB,Cath Dist Sch Brd (E/F),759430,Sacred Heart High School,Catholic,Not applicable,Secondary,English,9-12,,,450 Robinson St,Brockton,Walkerton,Ontario,N0G2V0,519-881-1900,519-881-4819,http://shhs.bgcdsb.org/,www.bgcdsb.org,715,44.12717,-81.1436,2,100,1,0,29,0,,,,89%,5.0,59%,-1.0,74%,0.0,11,10,2021-10-07 00:00:00,2017
223,B67008,Bruce-Grey CDSB,Cath Dist Sch Brd (E/F),776599,St Mary's High School,Catholic,Not applicable,Secondary,English,9-12,,,555 15th St E,Owen Sound,Owen Sound,Ontario,N4K1X2,519-376-4278,519-376-0793,http://smhs.bgcdsb.org/,www.bgcdsb.org,885,44.57386,-80.9341,2,100,0,1,21,1,,,,78%,4.0,39%,10.0,66%,-12.0,12,6,2021-10-07 00:00:00,2017
228,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),745698,Hanley Hall Catholic High School,Catholic,Not applicable,Secondary,English,9-12,,,30 McGill Street,Smiths Falls,Smiths Falls,Ontario,K7A2J8,613-284-2613,,http://www.coned.cdsbeo.on.ca,www.cdsbeo.on.ca,SP,44.90144,-76.0173,SP,SP,SP,SP,SP,SP,,,,,,,,N/R,,SP,SP,2021-10-07 00:00:00,2017
232,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),715190,Holy Trinity Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,18044 Tyotown Rd 1,South Glengarry,Cornwall,Ontario,K6H5R5,613-936-0319,613-936-0663,http://www.holytrinityfalcons.cdsbeo.on.ca/,www.cdsbeo.on.ca,535,45.0476,-74.6726,11,94,1,2,32,0,,,,97%,5.0,63%,14.0,68%,-16.0,19,7,2021-10-07 00:00:00,2017
237,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),736457,Notre Dame Catholic High School,Catholic,Not applicable,Secondary,English,9-12,,,157 McKenzie St,Carleton Place,Carleton Place,Ontario,K7C4P2,613-253-4700,613-253-5544,http://www.notredame.cdsbeo.on.ca/,www.cdsbeo.on.ca,490,45.14297,-76.1583,5,95,0,0,30,0,,,,87%,13.0,56%,6.0,91%,7.0,10,0,2021-10-07 00:00:00,2017
248,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),751502,St Francis Xavier Catholic High School,Catholic,Not applicable,Secondary,English,9-12,,,1235 Russell Rd,Clarence-Rockland,Hammond,Ontario,K0A2A0,613-487-2913,613-487-3856,http://www.stfx-hammond.cdsbeo.on.ca,www.cdsbeo.on.ca,270,45.421,-75.2134,15,90,0,0,40,0,,,,82%,-4.0,27%,-24.0,75%,-3.0,5,0,2021-10-07 00:00:00,2017
254,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),804800,St John Catholic High School,Catholic,Not applicable,Secondary,English,9-12,,,2066 Scotch Line Rd RR 3,Perth,Perth Road,Ontario,K7H3C5,613-267-4724,613-267-1890,http://www.stjohnchs.cdsbeo.on.ca/,www.cdsbeo.on.ca,415,44.8861,-76.2523,5,100,0,0,40,0,,,,78%,8.0,40%,8.0,88%,8.0,15,0,2021-10-07 00:00:00,2017
256,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),806277,St Joseph's Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,1500 A Cumberland St.,Cornwall,Cornwall,Ontario,K6J5V9,613-932-0349,613-936-0419,http://sjcss.ca/,www.cdsbeo.on.ca,725,45.03634,-74.7506,8,97,1,0,31,0,,,,87%,-1.0,55%,-1.0,69%,-8.0,17,9,2021-10-07 00:00:00,2017
260,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),824593,St Mary's High School,Catholic,Not applicable,Secondary,English,9-12,,,40 Central Ave,Brockville,Brockville,Ontario,K6V4N5,613-342-4911,613-342-2971,http://www.stmarychs.cdsbeo.on.ca,www.cdsbeo.on.ca,495,44.59973,-75.6959,0,100,0,0,30,0,,,,84%,-6.0,69%,21.0,87%,3.0,15,10,2021-10-07 00:00:00,2017
265,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),726176,St Matthew Catholic Secondary School,Catholic,Alternative,Secondary,English,9-12,,,822 Marlborough Street North,Cornwall,Cornwall,Ontario,K6H4B4,613-930-9928,613-932-2887,http://www.stmatthew.cdsbeo.on.ca,www.cdsbeo.on.ca,120,45.03089,-74.7243,0,100,0,0,100,0,,,,N/R,,N/R,,18%,,25,10,2021-10-07 00:00:00,2017
267,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),832480,St Michael High School,Catholic,Not applicable,Secondary,English,9-12,,,2755 Highway 43,North Grenville,Kemptville,Ontario,K0G1J0,613-258-7232,613-258-3527,http://www.smchs.ca/,www.cdsbeo.on.ca,475,45.0231,-75.6508,5,100,5,0,20,0,,,,90%,-1.0,78%,3.0,94%,1.0,10,5,2021-10-07 00:00:00,2017
272,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),803065,St. Luke Catholic High School,Catholic,Not applicable,Secondary,English,9-12,,,2755 Highway 43,North Grenville,Kemptville,Ontario,K0G1J0,613-283-4477,613-283-7622,http://www.stluke.cdsbeo.on.ca/,www.cdsbeo.on.ca,115,44.88672,-76.0209,0,100,0,0,100,0,,,,N/D,,0%,,11%,0.0,15,5,2021-10-07 00:00:00,2017
276,B67172,CDSB of Eastern Ontario,Cath Dist Sch Brd (E/F),733067,St. Thomas Aquinas Catholic High School,Catholic,Not applicable,Secondary,English,9-12,,,1211 South Russell Rd 2,Russell,Russell,Ontario,K4R1E5,613-445-0810,613-445-1520,http://www.sta-russell.com/,www.cdsbeo.on.ca,395,45.2514,-75.3531,0,95,0,0,25,0,,,,100%,14.0,79%,21.0,89%,-7.0,0,0,2021-10-07 00:00:00,2017
281,B66303,CS Viamonde,Pub Dist Sch Brd (E/F),918997,Collège français secondaire,Public,Not applicable,Secondary,French,9-12,,,100 Carlton rue,Toronto,Toronto,Ontario,M5B1M3,416-393-0175,416-393-0884,http://collegefrancais.csviamonde.ca,www.csviamonde.ca/csviamonde,165,43.66256,-79.3773,75,55,10,5,10,0,,,,94 %,18.0,N/R,,100 %,10.0,30,10,2021-10-07 00:00:00,2017
284,B66303,CS Viamonde,Pub Dist Sch Brd (E/F),907553,École secondaire Confédération,Public,Not applicable,Secondary,French,9-12,,,670 Tanguay avenue,Welland,Welland,Ontario,L3B4G2,905-732-1361,905-732-5066,http://confederation.csviamonde.ca,www.csviamonde.ca/csviamonde,SP,42.98923,-79.2245,SP,SP,SP,SP,SP,SP,,,,N/R,,N/R,,N/R,,SP,SP,2021-10-07 00:00:00,2017
285,B66303,CS Viamonde,Pub Dist Sch Brd (E/F),909858,École secondaire Franco-Jeunesse,Public,Not applicable,Secondary,French,9-12,,,901 promenade Rapids av,Sarnia,Sarnia,Ontario,N7S6K2,519-542-5970,519-542-5479,http://francojeunesse.csviamonde.ca,www.csviamonde.ca/csviamonde,SP,42.99473,-82.3511,SP,SP,SP,SP,SP,SP,,,,55 %,,N/R,,N/R,,SP,SP,2021-10-07 00:00:00,2017
286,B66303,CS Viamonde,Pub Dist Sch Brd (E/F),910554,École secondaire Gabriel-Dumont,Public,Not applicable,Secondary,French,9-12,,,2463 boulevard Evans,London,London,Ontario,N6M0B1,519-673-4552,519-673-4785,http://gabrieldumont.csviamonde.ca/,www.csviamonde.ca/csviamonde,155,42.951777,-81.171631,45,85,0,0,20,0,,,,88 %,12.0,67 %,,91 %,-3.0,20,5,2021-10-07 00:00:00,2017
287,B66303,CS Viamonde,Pub Dist Sch Brd (E/F),914723,École secondaire Gaétan Gervais,Public,Not applicable,Secondary,French,9-12,,,1075 McCraney Rue,Oakville,OAKVILLE,Ontario,L6H1H9,289-529-0065,,http://gaetangervais.csviamonde.ca,www.csviamonde.ca/csviamonde,85,43.46057,-79.6935,90,50,10,20,10,0,,,,96 %,16.0,N/R,,95 %,-5.0,20,0,2021-10-07 00:00:00,2017
288,B66303,CS Viamonde,Pub Dist Sch Brd (E/F),907308,École secondaire Georges-P-Vanier,Public,Not applicable,Secondary,French,9-12,,,100 Macklin N rue,Hamilton,Hamilton,Ontario,L8S3S1,905-528-0301,905-528-7913,http://georgespvanier.csviamonde.ca/,www.csviamonde.ca/csviamonde,110,43.26601,-79.8945,65,60,10,10,15,0,,,,61 %,-17.0,N/R,,87 %,-13.0,20,10,2021-10-07 00:00:00,2017
